,Verkauf in,Bauart,Marke,Modell,Kategorie,Erstzulassung,Km-Stand,Getriebeart,Leistung in kW,Chassis,Verkaufspreis,Wunschpreis,PLZ Verkäufer,Fahrzeugalter,fahrzeugalter_cat,Kilometer_cat
0,2022-01-01,Wohnmobil,Dethleffs,Globebus I1 GT 4 Sitzpl. Hubbett AHK,Integrierter,2021-07-01,5000.0,Schaltung,103.0,Fiat Ducato,71500,73900,64589,6,0-2 Jahre,0-20.000 km
1,2022-01-01,Wohnmobil,Adria,Coral Axess 670SL,Teilintegrierter,2019-04-01,36000.0,Schaltung,120.0,Citroen Jumper,54000,55000,93176,33,2-5 Jahre,20.001-50.000 km
2,2022-01-01,Wohnmobil,Weinsberg,Carabus 601 MQ Edition Fire 4 Sitzpl.,Kastenwagen,2018-07-01,33600.0,Schaltung,96.0,Fiat Ducato,43020,44820,93077,42,2-5 Jahre,20.001-50.000 km
3,2022-02-01,Wohnmobil,Concorde,Charisma 840 l,Integrierter,2008-01-01,110000.0,Automatik,130.0,Iveco Daily,80800,85000,56237,169,Über 10 Jahre,Über 100.000 km
4,2022-02-01,Wohnmobil,LMC,Liberty TI 652,Teilintegrierter,2008-04-01,95730.0,Schaltung,96.0,FIAT Ducato,30900,29500,27574,166,Über 10 Jahre,50.001-100.000 km
5,2022-03-01,Wohnmobil,Bürstner,Lyseo TD 728 G Harmony Line,Teilintegrierter,2020-09-01,9000.0,Automatik,103.0,Fiat Ducato,68500,70000,40764,18,0-2 Jahre,0-20.000 km
6,2022-03-01,Wohnmobil,Etrusco,V5900,Teilintegrierter,2021-05-01,6400.0,Schaltung,103.0,Citroen Jumper,48000,52500,97084,10,0-2 Jahre,0-20.000 km
7,2022-03-01,Wohnmobil,Eura Mobil,Terrestra T,Teilintegrierter,2016-04-01,42100.0,Automatik,109.0,Fiat Ducato,52300,51500,74629,71,5-10 Jahre,20.001-50.000 km
8,2022-03-01,Wohnmobil,Carthago,Chic c-line 5.0 L Superior,Integrierter,2019-02-01,17000.0,Automatik,130.0,Fiat Ducato,109100,125000,4229,37,2-5 Jahre,0-20.000 km
9,2022-03-01,Wohnmobil,Frankia,I 6400,Integrierter,2013-07-01,48000.0,Schaltung,120.0,MB Sprinter,42099,46999,41515,104,5-10 Jahre,20.001-50.000 km
10,2022-03-01,Wohnmobil,Dethleffs,Globetrotter XXL A 9000-2,Alkoven,2018-05-01,36000.0,Automatik,150.0,Iveco,147000,160000,82194,46,2-5 Jahre,20.001-50.000 km
11,2022-03-01,Wohnmobil,Knaus,Sky I 650 LEG Automatik 4.4t,Integrierter,2019-03-01,34853.0,Automatik,110.0,Fiat Ducato,65700,68000,49143,36,2-5 Jahre,20.001-50.000 km
12,2022-03-01,Wohnmobil,Knaus,Boxstar Street 600 MQ,Kastenwagen,2017-05-01,43242.0,Schaltung,110.0,FIAT Ducato,44500,50000,27607,58,2-5 Jahre,20.001-50.000 km
13,2022-03-01,Wohnmobil,LMC,Liberty 688 Aut.,Teilintegrierter,2005-12-01,143000.0,Automatik,92.0,Ford Transit,23000,25000,53902,195,Über 10 Jahre,Über 100.000 km
14,2022-03-01,Wohnmobil,Hymer,B 654 SL 4.5 t,Integrierter,2010-08-01,117890.0,Schaltung,96.0,Fiat,45600,45000,17438,139,Über 10 Jahre,Über 100.000 km
15,2022-03-01,Wohnmobil,Concorde,"Charisma 850 L 7,5 t",Integrierter,2017-07-01,76000.0,Automatik,150.0,Iveco,190000,200000,9619,56,2-5 Jahre,50.001-100.000 km
16,2022-03-01,Wohnmobil,Hobby,Siesta A70 6-Sitzer 3.850 kg,Alkoven,2017-04-01,60400.0,Schaltung,110.0,Fiat Ducato,44500,47000,50321,59,2-5 Jahre,50.001-100.000 km
17,2022-04-01,Wohnmobil,Sunlight,T 65 9G-Tronic 3.5 t,Teilintegrierter,2020-04-01,7650.0,Automatik,103.0,Fiat Ducato,56500,58000,71723,24,0-2 Jahre,0-20.000 km
18,2022-04-01,Wohnmobil,Hobby,600,Teilintegrierter,2004-07-01,49855.0,Schaltung,81.0,Fiat Ducato 244,23700,27000,35686,213,Über 10 Jahre,20.001-50.000 km
19,2022-04-01,Wohnmobil,Laika,Kosmo 509 3.85 t,Teilintegrierter,2019-02-01,15000.0,Schaltung,110.0,Fiat Ducato,62000,63000,63505,38,2-5 Jahre,0-20.000 km
20,2022-04-01,Wohnmobil,GiottiLine,Therry T31,Teilintegrierter,2013-03-01,53835.0,Schaltung,96.0,Citroen Jumper,34800,36000,25486,109,5-10 Jahre,50.001-100.000 km
21,2022-04-01,Wohnmobil,Knaus,Sky Traveller *1. Hand*,Alkoven,2013-07-01,23700.0,Schaltung,85.0,Fiat Ducato,33499,34999,53545,105,5-10 Jahre,20.001-50.000 km
22,2022-04-01,Wohnmobil,Pössl,Roadcruiser B,Kastenwagen,2019-02-01,19980.0,Schaltung,120.0,Citroen Jumper,52700,52000,37581,38,2-5 Jahre,0-20.000 km
23,2022-04-01,Wohnmobil,Clever,Van Celebration Kastenwagen,Kastenwagen,2018-02-01,35025.0,Schaltung,120.0,Citroen,45100,45000,14797,50,2-5 Jahre,20.001-50.000 km
24,2022-04-01,Wohnmobil,Bürstner,Lyseo Harmony Line 9G-Tronic 4.4 t,Teilintegrierter,2021-07-01,16123.0,Automatik,118.0,Fiat Ducato,66500,76900,17322,9,0-2 Jahre,0-20.000 km
25,2022-04-01,Wohnmobil,Hobby,Vantana Premium ET 65,Kastenwagen,2019-10-01,31600.0,Schaltung,110.0,Fiat,52100,59500,23730,30,2-5 Jahre,20.001-50.000 km
26,2022-04-01,Wohnmobil,Knaus,Sun Ti 650 LEG 3.5 t,Teilintegrierter,2014-05-01,96505.0,Schaltung,109.0,Fiat Ducato,43000,45000,33758,95,5-10 Jahre,50.001-100.000 km
27,2022-04-01,Wohnmobil,Concorde,Credo 840L 5.8 t,Integrierter,2016-03-01,59030.0,Automatik,150.0,Iveco,154000,175000,85560,73,5-10 Jahre,50.001-100.000 km
28,2022-04-01,Wohnmobil,LMC,Liberty Breezer A 694-2G 3.5 t,Alkoven,2011-04-01,93000.0,Schaltung,96.0,Fiat Ducato,32200,36500,3172,132,Über 10 Jahre,50.001-100.000 km
